name	group
kSecAttrAccess	attribute
kSecAttrAccessControl	attribute
kSecAttrAccessGroup	attribute
kSecAttrAccessGroupToken	attribute
kSecAttrAccessible	attribute
kSecAttrAccessibleAfterFirstUnlock	attribute
kSecAttrAccessibleAfterFirstUnlockThisDeviceOnly	attribute
kSecAttrAccessibleAlways	attribute
kSecAttrAccessibleAlwaysThisDeviceOnly	attribute
kSecAttrAccessibleWhenPasscodeSetThisDeviceOnly	attribute
kSecAttrAccessibleWhenUnlocked	attribute
kSecAttrAccessibleWhenUnlockedThisDeviceOnly	attribute
kSecAttrAccount	attribute
kSecAttrApplicationLabel	attribute
kSecAttrApplicationTag	attribute
kSecAttrAuthenticationType	attribute
kSecAttrAuthenticationTypeDPA	attribute
kSecAttrAuthenticationTypeDefault	attribute
kSecAttrAuthenticationTypeHTMLForm	attribute
kSecAttrAuthenticationTypeHTTPBasic	attribute
kSecAttrAuthenticationTypeHTTPDigest	attribute
kSecAttrAuthenticationTypeMSN	attribute
kSecAttrAuthenticationTypeNTLM	attribute
kSecAttrAuthenticationTypeRPA	attribute
kSecAttrCanDecrypt	attribute
kSecAttrCanDerive	attribute
kSecAttrCanEncrypt	attribute
kSecAttrCanSign	attribute
kSecAttrCanUnwrap	attribute
kSecAttrCanVerify	attribute
kSecAttrCanWrap	attribute
kSecAttrCertificateEncoding	attribute
kSecAttrCertificateType	attribute
kSecAttrComment	attribute
kSecAttrCreationDate	attribute
kSecAttrCreator	attribute
kSecAttrDescription	attribute
kSecAttrEffectiveKeySize	attribute
kSecAttrGeneric	attribute
kSecAttrIsExtractable	attribute
kSecAttrIsInvisible	attribute
kSecAttrIsNegative	attribute
kSecAttrIsPermanent	attribute
kSecAttrIsSensitive	attribute
kSecAttrIssuer	attribute
kSecAttrKeyClass	attribute
kSecAttrKeyClassPrivate	attribute
kSecAttrKeyClassPublic	attribute
kSecAttrKeyClassSymmetric	attribute
kSecAttrKeySizeInBits	attribute
kSecAttrKeyType	attribute
kSecAttrKeyType3DES	attribute
kSecAttrKeyTypeAES	attribute
kSecAttrKeyTypeCAST	attribute
kSecAttrKeyTypeDES	attribute
kSecAttrKeyTypeDSA	attribute
kSecAttrKeyTypeEC	attribute
kSecAttrKeyTypeECDSA	attribute
kSecAttrKeyTypeECSECPrimeRandom	attribute
kSecAttrKeyTypeRC2	attribute
kSecAttrKeyTypeRC4	attribute
kSecAttrKeyTypeRSA	attribute
kSecAttrLabel	attribute
kSecAttrModificationDate	attribute
kSecAttrPRF	attribute
kSecAttrPRFHmacAlgSHA1	attribute
kSecAttrPRFHmacAlgSHA224	attribute
kSecAttrPRFHmacAlgSHA256	attribute
kSecAttrPRFHmacAlgSHA384	attribute
kSecAttrPRFHmacAlgSHA512	attribute
kSecAttrPath	attribute
kSecAttrPersistantReference	attribute
kSecAttrPersistentReference	attribute
kSecAttrPort	attribute
kSecAttrProtocol	attribute
kSecAttrProtocolAFP	attribute
kSecAttrProtocolAppleTalk	attribute
kSecAttrProtocolDAAP	attribute
kSecAttrProtocolEPPC	attribute
kSecAttrProtocolFTP	attribute
kSecAttrProtocolFTPAccount	attribute
kSecAttrProtocolFTPProxy	attribute
kSecAttrProtocolFTPS	attribute
kSecAttrProtocolHTTP	attribute
kSecAttrProtocolHTTPProxy	attribute
kSecAttrProtocolHTTPS	attribute
kSecAttrProtocolHTTPSProxy	attribute
kSecAttrProtocolIMAP	attribute
kSecAttrProtocolIMAPS	attribute
kSecAttrProtocolIPP	attribute
kSecAttrProtocolIRC	attribute
kSecAttrProtocolIRCS	attribute
kSecAttrProtocolLDAP	attribute
kSecAttrProtocolLDAPS	attribute
kSecAttrProtocolNNTP	attribute
kSecAttrProtocolNNTPS	attribute
kSecAttrProtocolPOP3	attribute
kSecAttrProtocolPOP3S	attribute
kSecAttrProtocolRTSP	attribute
kSecAttrProtocolRTSPProxy	attribute
kSecAttrProtocolSMB	attribute
kSecAttrProtocolSMTP	attribute
kSecAttrProtocolSOCKS	attribute
kSecAttrProtocolSSH	attribute
kSecAttrProtocolTelnet	attribute
kSecAttrProtocolTelnetS	attribute
kSecAttrPublicKeyHash	attribute
kSecAttrRounds	attribute
kSecAttrSalt	attribute
kSecAttrSecurityDomain	attribute
kSecAttrSerialNumber	attribute
kSecAttrServer	attribute
kSecAttrService	attribute
kSecAttrSubject	attribute
kSecAttrSubjectKeyID	attribute
kSecAttrSyncViewHint	attribute
kSecAttrSynchronizable	attribute
kSecAttrSynchronizableAny	attribute
kSecAttrTokenID	attribute
kSecAttrTokenIDSecureEnclave	attribute
kSecAttrType	attribute
kSecClass	class
kSecClassCertificate	class
kSecClassGenericPassword	class
kSecClassIdentity	class
kSecClassInternetPassword	class
kSecClassKey	class
kSecMatchCaseInsensitive	match
kSecMatchDiacriticInsensitive	match
kSecMatchEmailAddressIfPresent	match
kSecMatchHostOrSubdomainOfHost	match
kSecMatchIssuers	match
kSecMatchItemList	match
kSecMatchLimit	match
kSecMatchLimitAll	match
kSecMatchLimitOne	match
kSecMatchPolicy	match
kSecMatchSearchList	match
kSecMatchSubjectContains	match
kSecMatchSubjectEndsWith	match
kSecMatchSubjectStartsWith	match
kSecMatchSubjectWholeString	match
kSecMatchTrustedOnly	match
kSecMatchValidOnDate	match
kSecMatchWidthInsensitive	match
kSecReturnAttributes	return
kSecReturnData	return
kSecReturnPersistentRef	return
kSecReturnRef	return
kSecUseAuthenticationContext	use
kSecUseAuthenticationUI	use
kSecUseAuthenticationUIAllow	use
kSecUseAuthenticationUIFail	use
kSecUseAuthenticationUISkip	use
kSecUseDataProtectionKeychain	use
kSecUseItemList	use
kSecUseKeychain	use
kSecUseNoAuthenticationUI	use
kSecUseOperationPrompt	use
kSecUseUserIndependentKeychain	use
kSecValueData	value
kSecValuePersistentRef	value
kSecValueRef	value
